City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
98,Georgetown,MY,2023-01-03 01:34:21,5.4112,100.3354,82.33,83,20,6.91,few clouds
99,Lagoa,PT,2023-01-03 01:38:31,39.05,-27.9833,59.68,84,100,19.8,overcast clouds
100,Saskylakh,RU,2023-01-03 01:35:41,71.9167,114.0833,-13.27,98,100,5.46,overcast clouds
101,Oranjemund,NA,2023-01-03 01:38:32,-28.55,16.4333,62.76,96,4,3.29,clear sky
102,Arraial Do Cabo,BR,2023-01-03 01:38:32,-22.9661,-42.0278,73.74,87,3,26.37,clear sky
103,Ahipara,NZ,2023-01-03 01:38:33,-35.1667,173.1667,71.62,71,100,17.43,overcast clouds
104,Longyearbyen,SJ,2023-01-03 01:35:49,78.2186,15.6401,31.84,69,40,18.41,scattered clouds
105,Matranovak,HU,2023-01-03 01:38:33,48.0381,19.9826,42.46,95,15,1.66,few clouds
106,Qaanaaq,GL,2023-01-03 01:38:34,77.484,-69.3632,-7.37,59,4,4.9,clear sky
107,Puerto Ayora,EC,2023-01-03 01:38:34,-0.7393,-90.3518,72.55,95,18,5.01,few clouds
108,Yining,CN,2023-01-03 01:38:34,29.0361,114.5636,45.91,73,88,2.15,overcast clouds
109,Vila Velha,BR,2023-01-03 01:38:35,-20.3297,-40.2925,71.94,92,20,2.3,few clouds
110,Koupela,BF,2023-01-03 01:38:35,12.1794,-0.3517,64.26,24,0,9.46,clear sky
111,Montecristo,CO,2023-01-03 01:38:35,8.2971,-74.4733,72.32,98,2,2.59,clear sky
112,Atbasar,KZ,2023-01-03 01:38:36,51.8,68.3333,28.71,95,100,23.67,light snow
113,Tchibanga,GA,2023-01-03 01:38:36,-2.85,11.0333,70.61,98,95,1.54,overcast clouds
114,Denpasar,ID,2023-01-03 01:34:25,-8.65,115.2167,85.71,74,40,20.71,scattered clouds
115,Kirakira,SB,2023-01-03 01:38:37,-10.4544,161.9205,84.43,72,100,11.65,moderate rain
116,Hermanus,ZA,2023-01-03 01:38:37,-34.4187,19.2345,69.8,90,2,5.46,clear sky
117,Grindavik,IS,2023-01-03 01:38:38,63.8424,-22.4338,35.55,100,100,18.41,overcast clouds
118,Erzin,TR,2023-01-03 01:38:38,36.9559,36.2,48.87,26,0,6.67,clear sky
119,Katsuura,JP,2023-01-03 01:38:39,35.1333,140.3,47.08,40,42,5.77,scattered clouds
120,Saint-Philippe,RE,2023-01-03 01:38:39,-21.3585,55.7679,74.79,78,79,4.81,broken clouds
121,Cueto,CU,2023-01-03 01:38:39,20.6439,-75.9356,73.92,84,2,10.16,clear sky
122,Sao Filipe,CV,2023-01-03 01:38:40,14.8961,-24.4956,76.39,57,59,7.4,broken clouds
123,Port Macquarie,AU,2023-01-03 01:38:40,-31.4333,152.9167,80.89,57,0,10.6,clear sky
124,Byron Bay,AU,2023-01-03 01:37:38,-28.65,153.6167,81.95,56,18,8.46,few clouds
125,Cape Town,ZA,2023-01-03 01:35:03,-33.9258,18.4232,65.12,89,75,11.5,broken clouds
126,Marion,US,2023-01-03 01:38:41,39.7684,-86.1555,57.04,96,100,6.91,mist
127,Sitka,US,2023-01-03 01:38:41,57.0531,-135.33,40.89,87,100,0.0,overcast clouds
128,Sangar,RU,2023-01-03 01:38:42,63.9242,127.4739,-37.55,96,99,6.35,overcast clouds
129,Raga,SS,2023-01-03 01:38:42,8.4596,25.678,69.33,32,2,6.38,clear sky
130,Fortuna,US,2023-01-03 01:38:42,40.5982,-124.1573,49.66,86,100,9.22,overcast clouds
131,Gbadolite,CD,2023-01-03 01:38:43,4.2833,21.0167,71.83,52,38,3.29,scattered clouds
132,Kemijarvi,FI,2023-01-03 01:38:43,66.7131,27.4306,-5.67,100,86,1.74,overcast clouds
133,Matara,LK,2023-01-03 01:39:44,5.9485,80.5353,72.81,87,49,3.6,scattered clouds
134,Bonthe,SL,2023-01-03 01:39:44,7.5264,-12.505,75.96,83,0,3.65,clear sky
135,Butaritari,KI,2023-01-03 01:39:44,3.0707,172.7902,80.74,74,100,10.18,overcast clouds
136,Hithadhoo,MV,2023-01-03 01:39:45,-0.6,73.0833,80.28,68,35,10.33,scattered clouds
137,Ulladulla,AU,2023-01-03 01:39:45,-35.35,150.4667,72.45,76,62,12.26,broken clouds
138,Esperance,AU,2023-01-03 01:39:46,-33.8667,121.9,67.03,65,65,12.66,broken clouds
