City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Richards Bay,ZA,71.85,overcast clouds,-28.783,32.0377,Protea Hotel
445,Santa Isabel Do Rio Negro,BR,72.82,overcast clouds,-0.4139,-65.0192,Hotel Maikon
448,Labrea,BR,73.27,overcast clouds,-7.2586,-64.7981,No hotel found
449,Cobija,BO,77.92,overcast clouds,-11.0267,-68.7692,Hotel El Cristo
451,Berbera,SO,75.94,light rain,10.4396,45.0143,Al Madina Hotel
452,Tual,ID,83.7,overcast clouds,-5.6667,132.75,Suita
453,Mizan Teferi,ET,60.04,scattered clouds,6.9833,35.5833,ሆቴል ሳላይሽ / Salayesh Hotel
454,Ghanzi,BW,68.74,clear sky,-21.5667,21.7833,Ghanzi farmhouse
456,Ponta Do Sol,PT,61.72,overcast clouds,32.6667,-17.1,Estalagem Ponta do Sol
459,Alta Floresta,BR,71.24,light rain,-9.8756,-56.0861,Villas Hotel
460,Pisco,PE,69.03,heavy intensity rain,-13.7,-76.2167,La Portada
462,Redwater,US,70.09,overcast clouds,33.3582,-94.2544,No hotel found
463,Lucapa,AO,64.35,light rain,-8.4192,20.7447,No hotel found
470,Chuy,UY,63.63,clear sky,-33.6971,-53.4616,Alerces
471,Corumba,BR,74.93,heavy intensity rain,-19.0092,-57.6533,Hotel El Shadday
473,Kang,BW,70.75,broken clouds,-23.6752,22.7876,Nkisi Guest House
477,Waipawa,NZ,70.36,few clouds,-41.4122,175.5153,No hotel found
479,Lexington,US,62.49,scattered clouds,37.9887,-84.4777,Extended Stay America
481,Salalah,OM,69.89,clear sky,17.0151,54.0924,Muscat International Hotel
484,Mbini,GQ,78.6,light rain,1.574,9.6134,La Trisa
485,Yaan,NG,75.99,overcast clouds,7.3833,8.5667,No hotel found
488,Pedasi,PA,78.06,light rain,7.5333,-80.0333,Dim's Hostal
491,Luba,GQ,79.36,broken clouds,3.4568,8.5547,Hotel Jones
492,Poum,NC,78.8,few clouds,-20.2333,164.0167,No hotel found
493,Victoria,HK,64.26,overcast clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
494,Namatanai,PG,85.89,light rain,-3.6667,152.4333,Namatanai Hotel
495,Mpulungu,ZM,69.55,overcast clouds,-8.7623,31.1141,No hotel found
499,Mumford,GH,77.14,broken clouds,5.2618,-0.759,No hotel found
501,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,No hotel found
502,Nelson Bay,AU,84.25,clear sky,-32.7167,152.15,No hotel found
506,Kainantu,PG,79.43,overcast clouds,-6.2887,145.8655,Kainantu Lodge
513,Camocim,BR,78.17,scattered clouds,-2.9022,-40.8411,Hotel Camocim
514,Inverell,AU,87.67,few clouds,-29.7833,151.1167,Oxford Hotel
515,Mirador,BR,74.23,overcast clouds,-6.3708,-44.3631,No hotel found
517,Saint Andrews,US,60.01,clear sky,34.0454,-81.1293,Red Roof Inn
518,Baracoa,CU,76.78,broken clouds,20.3467,-74.4958,Casa
520,Gaoua,BF,66.72,clear sky,10.2992,-3.2508,No hotel found
521,Bandarbeyla,SO,75.78,light rain,9.4942,50.8122,No hotel found
522,Swan Hill,AU,83.66,clear sky,-35.3378,143.5544,No hotel found
524,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,No hotel found
525,Chokwe,MZ,68.45,clear sky,-24.5333,32.9833,Limpopo Hotel
526,Marawi,PH,69.55,overcast clouds,7.9986,124.2928,Marawi Resort Hotel
527,Katherine,AU,84.52,overcast clouds,-14.4667,132.2667,No hotel found
528,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,No hotel found
530,Ilesha,NG,69.33,overcast clouds,7.1371,5.2583,No hotel found
532,Tallahassee,US,69.64,mist,30.4383,-84.2807,The Governors Inn
534,Payo,ID,77.49,moderate rain,-3.7508,103.6372,No hotel found
539,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,No hotel found
546,Mount Isa,AU,83.97,light rain,-20.7333,139.5,Ibis Styles
549,Isangel,VU,84.6,few clouds,-19.55,169.2667,Tanna Lodge
551,Kendari,ID,85.53,overcast clouds,-3.945,122.4989,City Hotel Kendari
552,Te Anau,NZ,74.82,overcast clouds,-45.4167,167.7167,Lakeside Motels & Apartments
554,Bocas Del Toro,PA,77.38,moderate rain,9.3333,-82.25,B&B Surfari
556,Bolivar,US,61.56,overcast clouds,37.6145,-93.4105,Best Western Plus
557,Fort Wellington,GY,75.69,overcast clouds,6.4,-57.6,No hotel found
558,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
563,Miri,MY,78.94,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
565,Batemans Bay,AU,70.11,overcast clouds,-35.7167,150.1833,Esplanade Hotel
567,Choctaw,US,65.01,clear sky,35.4976,-97.2689,No hotel found
568,Lethem,GY,75.56,broken clouds,3.3803,-59.7968,Hotel Amazonas
570,Ambilobe,MG,71.94,broken clouds,-13.2,49.05,Hôtel National
572,Guiberoua,CI,63.63,few clouds,6.2392,-6.1727,No hotel found
575,Dimasalang,PH,75.58,very heavy rain,12.1923,123.8592,No hotel found
576,Coracao De Jesus,BR,66.61,few clouds,-16.6853,-44.365,No hotel found
578,Canchungo,GW,71.71,overcast clouds,12.0672,-16.0333,Hotel Pereira
580,Abeche,TD,63.81,clear sky,13.8292,20.8324,فندق قيصر
582,Kloulklubed,PW,83.21,overcast clouds,7.0419,134.2556,The Adventures Inn
585,Hervey Bay,AU,76.24,clear sky,-25.2986,152.8535,Hervey Bay Hotel
587,Bambanglipuro,ID,81.21,overcast clouds,-7.95,110.2833,No hotel found
591,Iracoubo,GF,75.54,overcast clouds,5.4802,-53.2011,No hotel found
592,Pozo Colorado,PY,75.81,overcast clouds,-23.4923,-58.7972,No hotel found
594,Salvador,SV,72.05,clear sky,13.8333,-88.9167,No hotel found
599,Hobyo,SO,77.63,scattered clouds,5.3505,48.5268,No hotel found
600,Obidos,BR,74.3,overcast clouds,-1.9175,-55.5181,Hotel Brás Belo
603,Bandar-E Lengeh,IR,69.94,overcast clouds,26.5579,54.8807,Old owner do not like foreigners hotel
605,Bontang,ID,81.23,light rain,0.1333,117.5,Hotel Sederhana
606,Am Timan,TD,69.33,scattered clouds,11.0297,20.2827,Nimla
609,Diu,IN,62.85,broken clouds,20.7141,70.9822,Hotel Ankur
610,General Cepeda,MX,66.07,clear sky,25.3833,-101.45,Casa del maestro
611,Talcahuano,CL,60.48,clear sky,-36.7167,-73.1167,Club Recreativo Armada de Chile
612,Bardiyah,LY,61.59,moderate rain,31.7561,25.0865,فندق البردي
613,Basco,PH,75.63,broken clouds,20.4487,121.9702,Tawsen Hotel
615,Kanigoro,ID,82.17,broken clouds,-8.13,112.219,No hotel found
617,Russell,US,69.08,clear sky,32.3502,-85.1999,No hotel found
621,Nabire,ID,85.82,overcast clouds,-3.3667,135.4833,Hotel Anggrek
622,Chanika,TZ,64.42,scattered clouds,-5.4167,38.0167,Handeni Country Villa
623,Pundaguitan,PH,78.46,overcast clouds,6.3711,126.1689,No hotel found
624,Biu,NG,60.3,broken clouds,10.6129,12.1946,No hotel found
625,Los Llanos De Aridane,ES,62.35,overcast clouds,28.6585,-17.9182,Valle Aridane
627,Kottagudem,IN,70.27,broken clouds,17.55,80.6333,Hotel welcome
628,Palora,EC,64.89,overcast clouds,-1.7,-77.9333,Hotel Sol De Oriente
630,Palu,ID,86.5,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
631,Mahanoro,MG,73.13,overcast clouds,-19.9,48.8,Vanilla Bungalow
632,Sesheke,ZM,64.29,overcast clouds,-17.4759,24.2968,Sisheke Lodge
633,Ballina,AU,82.02,scattered clouds,-28.8667,153.5667,Ballina Beach Resort
634,Guarapari,BR,71.89,clear sky,-20.6667,-40.4975,Osmar Hotel
635,Namibe,AO,73.69,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
637,Karoi,ZW,62.42,overcast clouds,-16.8099,29.6925,The Champion Lodge
640,Tamandare,BR,78.82,overcast clouds,-8.7597,-35.1047,Pousada Baia dos Corais
641,Mpanda,TZ,64.11,overcast clouds,-6.3655,31.0409,Two in One Kirari Executive Lodge
643,Valparaiso,CL,62.24,clear sky,-33.0393,-71.6273,Ibis Hotel
644,Trairi,BR,78.21,broken clouds,-3.2778,-39.2689,No hotel found
647,Kattivakkam,IN,75.29,scattered clouds,13.2167,80.3167,No hotel found
651,Vallenar,CL,71.2,clear sky,-28.5708,-70.7581,Hotel del Marqués
652,Sal Rei,CV,73.13,scattered clouds,16.1833,-22.9167,Hotel Marine Club
655,Oriximina,BR,74.53,broken clouds,-1.7656,-55.8661,No hotel found
657,San Policarpo,PH,78.76,light rain,12.1791,125.5072,No hotel found
658,Loubomo,CG,70.09,overcast clouds,-4.1997,12.6739,Residence Nelson
659,Mananjary,MG,74.12,overcast clouds,-21.2167,48.3333,Ideal Hotel Annexe
660,Quatre Cocos,MU,74.08,overcast clouds,-20.2078,57.7625,Horisun
663,Samana,DO,73.22,few clouds,19.2056,-69.3369,Hotel Cotubanamá
665,Meulaboh,ID,77.58,broken clouds,4.1363,96.1285,Hotel Meuligou
666,Dapdap,PH,78.73,moderate rain,12.062,125.4881,Sea Side Resort
668,Anori,BR,72.64,overcast clouds,-3.7728,-61.6442,NOVO HOTEL
669,Oudtshoorn,ZA,64.76,clear sky,-33.5907,22.2014,The Pearl
670,Matamoros,MX,62.11,clear sky,25.5333,-103.25,No hotel found
673,Sabang,ID,79.72,overcast clouds,5.8933,95.3214,Sabang Hill
677,Kouango,CF,75.83,clear sky,4.9934,19.9619,No hotel found
682,Pasighat,IN,60.31,clear sky,28.0667,95.3333,Aane Hotel
685,Porto Walter,BR,77.23,overcast clouds,-8.2686,-72.7439,No hotel found
686,Ixtapa,MX,73.22,overcast clouds,20.7,-105.2,No hotel found
687,Kudahuvadhoo,MV,80.53,scattered clouds,2.6708,72.8944,No hotel found
689,Chiredzi,ZW,66.65,clear sky,-21.05,31.6667,Nesbitt Arms Hotel
690,Moyale,KE,65.84,scattered clouds,3.5167,39.0584,Nicest
693,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Paladino
696,Hamilton,US,60.01,overcast clouds,39.1834,-84.5333,North Vista Manor
697,Riberalta,BO,73.44,few clouds,-10.9833,-66.1,Hotel Jomali
698,Maamba,ZM,66.13,light rain,-17.3667,27.15,No hotel found
705,Mackay,AU,88.68,scattered clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
708,Luvianos,MX,62.33,overcast clouds,18.9167,-100.4,No hotel found
709,Taltal,CL,66.83,few clouds,-25.4,-70.4833,Hostería Taltal
710,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Marry's Motel
