City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Ilulissat,GL,2022-12-30 19:44:14,69.2167,-51.1,259.16,66,75,7.2
126,Aranos,NA,2022-12-30 19:48:36,-24.1333,19.1167,301.21,37,93,9.03
127,Hamilton,US,2022-12-30 19:47:23,39.1834,-84.5333,292.17,57,40,5.14
128,Codrington,AU,2022-12-30 19:48:37,-38.2667,141.9667,287.25,91,2,0.8
129,Beloha,MG,2022-12-30 19:48:37,-25.1667,45.05,296.51,88,1,3.93
130,Bonaventure,CA,2022-12-30 19:48:38,48.0457,-65.4926,272.47,100,100,1.03
131,Phayao,TH,2022-12-30 19:48:38,19.25,100.25,291.18,72,100,0.37
132,Utica,US,2022-12-30 19:47:07,43.1009,-75.2327,286.51,74,100,2.24
133,Sao Felix Do Xingu,BR,2022-12-30 19:48:39,-6.6447,-51.995,298.04,91,99,0.74
134,Cherskiy,RU,2022-12-30 19:48:39,68.75,161.3,230.31,100,61,1.39
135,Aloleng,PH,2022-12-30 19:48:40,16.1307,119.7824,297.95,73,72,3.7
136,Forbes,AU,2022-12-30 19:48:40,-33.3833,148.0167,292.55,62,25,2.27
137,Yatou,CN,2022-12-30 19:49:41,37.15,122.3833,268.14,68,0,2.33
138,Haines Junction,CA,2022-12-30 19:49:41,60.7522,-137.5108,255.12,85,100,0.51
139,Angoche,MZ,2022-12-30 19:49:41,-16.2325,39.9086,299.29,83,91,2.2
140,Lensk,RU,2022-12-30 19:49:42,60.7253,114.9278,247.22,96,100,5.92
141,Rapid Valley,US,2022-12-30 19:49:42,44.0625,-103.1463,280.15,49,0,3.13
142,America Dourada,BR,2022-12-30 19:49:43,-11.4553,-41.4361,298.25,65,93,4.95
143,Lakselv,NO,2022-12-30 19:49:43,70.0513,24.9718,268.05,86,100,12.35
144,Dutlwe,BW,2022-12-30 19:49:43,-23.9833,23.9,294.02,68,60,4.12
145,San Luis,AR,2022-12-30 19:46:43,-33.295,-66.3356,308.25,13,21,4.96
146,Caravelas,BR,2022-12-30 19:49:44,-17.7125,-39.2481,299.6,75,100,3.66
147,Disna,BY,2022-12-30 19:49:44,55.568,28.1971,274.76,92,74,5.63
148,Puerto Madero,MX,2022-12-30 19:49:45,14.7208,-92.4215,301.12,63,41,4.53
149,Karratha,AU,2022-12-30 19:49:45,-20.7377,116.8463,300.22,79,53,6.4
150,Cervo,ES,2022-12-30 19:49:45,43.6702,-7.4101,290.91,76,100,8.51
151,Lucapa,AO,2022-12-30 19:49:46,-8.4192,20.7447,290.67,97,100,0.76
152,Clyde River,CA,2022-12-30 19:49:46,70.4692,-68.5914,248.28,70,100,3.6
153,Loei,TH,2022-12-30 19:49:47,17.4167,101.5,283.64,83,0,1.08
154,Cabedelo,BR,2022-12-30 19:44:53,-6.9811,-34.8339,302.52,74,100,5.24
155,Sobolevo,RU,2022-12-30 19:49:47,54.4299,31.8996,274.49,99,100,6.95
156,Qasigiannguit,GL,2022-12-30 19:49:47,68.8193,-51.1922,259.29,95,100,2.36
157,Atar,MR,2022-12-30 19:49:48,20.5169,-13.0499,293.86,52,42,6.07
158,Hualmay,PE,2022-12-30 19:49:48,-11.0964,-77.6139,296.53,74,100,5.49
159,Nome,US,2022-12-30 19:49:49,64.5011,-165.4064,261.19,85,75,6.69
160,Olafsvik,IS,2022-12-30 19:49:49,64.8945,-23.7142,267.66,66,91,7.05
161,Port Pirie,AU,2022-12-30 19:49:50,-33.1833,138.0167,291.99,50,0,2.6
162,Saint-Augustin,CA,2022-12-30 19:49:50,51.226,-58.6502,266.03,94,100,1.36
163,Yar-Sale,RU,2022-12-30 19:49:50,66.8333,70.8333,242.16,100,61,2.47
164,Walvis Bay,NA,2022-12-30 19:49:51,-22.9575,14.5053,292.68,72,26,4.12
165,Asau,RO,2022-12-30 19:49:51,46.4333,26.4,278.86,90,90,2.34
166,Deputatskiy,RU,2022-12-30 19:49:51,69.3,139.9,235.0,98,33,2.72
167,Krasnoarmeysk,RU,2022-12-30 19:49:52,51.0239,45.6969,273.39,98,100,3.48
168,Ugoofaaru,MV,2022-12-30 19:49:52,5.6667,73.0,300.29,72,71,7.92
169,Zaysan,KZ,2022-12-30 19:49:53,47.4667,84.8667,263.41,93,100,0.59
170,Olga,RU,2022-12-30 19:49:53,43.7444,135.2892,257.83,81,3,2.85
171,Sehithwa,BW,2022-12-30 19:49:53,-20.4667,22.7167,300.51,43,100,2.17
172,New Norfolk,AU,2022-12-30 19:49:54,-42.7826,147.0587,289.22,89,100,0.38
173,Bantogon,PH,2022-12-30 19:49:54,6.5333,124.0333,297.5,84,97,1.87
174,Itaituba,BR,2022-12-30 19:49:54,-4.2761,-55.9836,304.24,70,40,2.06
175,Turayf,SA,2022-12-30 19:49:55,31.6725,38.6637,280.29,76,0,6.17
176,Chaman,PK,2022-12-30 19:49:55,30.9236,66.4512,277.86,61,3,0.37
177,Mount Gambier,AU,2022-12-30 19:49:55,-37.8333,140.7667,288.98,81,83,2.16
178,Xining,CN,2022-12-30 19:46:32,36.6167,101.7667,265.66,26,23,0.44
179,Cabo San Lucas,MX,2022-12-30 19:46:35,22.8909,-109.9124,299.05,63,0,1.64
180,Sinegorye,RU,2022-12-30 19:49:56,62.0788,150.477,243.88,99,100,0.57
181,Dalbandin,PK,2022-12-30 19:49:56,28.8947,64.4101,282.17,46,91,2.8
182,Neuquen,AR,2022-12-30 19:49:57,-38.9516,-68.0591,307.09,11,0,3.6
183,Longyan,CN,2022-12-30 19:49:57,25.1072,117.0225,278.94,98,57,1.83
184,Sitka,US,2022-12-30 19:50:57,57.0531,-135.33,278.09,93,100,0.0
185,Severo-Kurilsk,RU,2022-12-30 19:50:58,50.6789,156.125,268.8,87,93,7.97
186,Fortuna,US,2022-12-30 19:50:58,40.5982,-124.1573,287.0,97,75,5.66
187,Sola,VU,2022-12-30 19:50:59,-13.8833,167.55,297.52,94,100,0.0
188,Iqaluit,CA,2022-12-30 19:50:59,63.7506,-68.5145,245.2,68,20,5.66
189,Port Hawkesbury,CA,2022-12-30 19:50:59,45.6169,-61.3485,278.1,93,100,2.24
190,Beringovskiy,RU,2022-12-30 19:51:00,63.05,179.3167,249.55,93,100,7.34
191,Qaqortoq,GL,2022-12-30 19:51:00,60.7167,-46.0333,253.92,80,0,2.29
192,Half Moon Bay,US,2022-12-30 19:51:01,37.4636,-122.4286,290.1,96,100,9.77
193,Marzuq,YE,2022-12-30 19:51:01,14.4,46.4667,289.86,54,4,0.84
194,Kormilovka,RU,2022-12-30 19:51:03,55.0026,74.1028,251.06,100,100,2.01
195,Ostersund,SE,2022-12-30 19:51:05,63.1792,14.6357,272.93,100,100,5.14
196,Quatre Cocos,MU,2022-12-30 19:51:08,-20.2078,57.7625,297.21,68,0,1.38
197,Margate,GB,2022-12-30 19:51:09,51.3813,1.3862,285.43,89,100,3.13
198,Arlit,NE,2022-12-30 19:51:10,18.7369,7.3853,290.97,16,16,5.18
199,Morehead,US,2022-12-30 19:51:11,37.2711,-87.1764,291.45,57,40,7.2
200,Norman Wells,CA,2022-12-30 19:51:11,65.282,-126.8329,247.17,76,40,1.54
201,Camacha,PT,2022-12-30 19:51:12,33.0833,-16.3333,290.83,94,20,6.17
202,Thayetmyo,MM,2022-12-30 19:51:13,19.3167,95.1833,290.54,73,12,0.06
203,Saint-Leu,RE,2022-12-30 19:51:14,-21.15,55.2833,297.63,79,13,0.85
204,Pangody,RU,2022-12-30 19:51:15,65.85,74.4859,243.42,100,9,2.31
205,Lavrentiya,RU,2022-12-30 19:51:18,65.5833,-171.0,251.1,86,100,4.47
206,Havoysund,NO,2022-12-30 19:51:20,70.9963,24.6622,270.28,73,100,10.72
207,Maragogi,BR,2022-12-30 19:51:21,-9.0122,-35.2225,299.94,75,55,4.51
208,Acapulco,MX,2022-12-30 19:51:22,16.8634,-99.8901,302.04,55,100,3.74
209,Hambantota,LK,2022-12-30 19:51:23,6.1241,81.1185,296.27,81,100,6.28
210,Valleyview,CA,2022-12-30 19:51:23,55.0667,-117.2859,266.17,93,32,2.06
211,Sokolo,ML,2022-12-30 19:51:26,14.7328,-6.1219,299.85,15,100,5.8
212,Muros,ES,2022-12-30 19:51:27,42.7762,-9.0603,290.42,81,100,11.86
213,Altamont,US,2022-12-30 19:48:04,42.2068,-121.7372,276.91,96,100,3.09
214,Siguiri,GN,2022-12-30 19:51:29,11.6667,-9.5,299.18,16,80,2.2
215,Pangnirtung,CA,2022-12-30 19:51:31,66.1451,-65.7125,249.15,77,100,1.54
216,Itarema,BR,2022-12-30 19:51:31,-2.9248,-39.9167,301.01,70,3,6.89
217,Brae,GB,2022-12-30 19:51:32,60.3964,-1.353,276.29,96,100,12.61
218,Sungaipenuh,ID,2022-12-30 19:51:32,-2.0833,101.3833,290.03,97,100,0.83
219,Nortelandia,BR,2022-12-30 19:51:33,-14.4547,-56.8028,299.53,89,100,1.73
220,Bethel,US,2022-12-30 19:46:37,41.3712,-73.414,291.2,34,75,3.09
221,Lasa,IT,2022-12-30 19:51:34,46.6166,10.7002,278.64,96,100,1.13
222,Siljan,NO,2022-12-30 19:51:34,59.2884,9.71,278.25,98,100,6.33
223,Namatanai,PG,2022-12-30 19:51:35,-3.6667,152.4333,298.85,83,98,1.02
224,Edd,ER,2022-12-30 19:51:35,13.9297,41.6925,301.51,45,1,8.13
225,Chulucanas,PE,2022-12-30 19:51:36,-5.0925,-80.1625,306.15,39,99,2.76
226,Potosi,BO,2022-12-30 19:51:36,-19.5836,-65.7531,286.3,51,62,4.0
227,Bushehr,IR,2022-12-30 19:51:36,28.9684,50.8385,289.2,67,0,4.12
228,Lake City,US,2022-12-30 19:51:37,30.1897,-82.6393,298.59,38,100,2.32
229,Vila,PT,2022-12-30 19:51:37,42.0304,-8.1588,283.64,95,100,5.36
230,Touros,BR,2022-12-30 19:52:37,-5.1989,-35.4608,300.32,67,95,7.16
231,Geraldton,AU,2022-12-30 19:52:38,-28.7667,114.6,294.38,68,100,5.66
232,Mayo,US,2022-12-30 19:52:38,38.8876,-76.5119,291.85,66,0,4.63
233,Nichinan,JP,2022-12-30 19:52:38,31.6,131.3667,278.11,72,5,2.85
234,Alexandria,EG,2022-12-30 19:52:39,31.2156,29.9553,287.45,68,1,4.63
235,Tuatapere,NZ,2022-12-30 19:52:39,-46.1333,167.6833,285.15,69,59,1.36
236,Huarmey,PE,2022-12-30 19:52:40,-10.0681,-78.1522,296.97,74,100,5.8
237,Tupiza,BO,2022-12-30 19:52:40,-21.45,-65.7167,296.98,29,90,8.2
238,Durant,US,2022-12-30 19:52:40,33.994,-96.3708,289.58,50,95,3.62
239,Bandarbeyla,SO,2022-12-30 19:52:41,9.4942,50.8122,297.95,84,90,8.72
240,Shelburne,CA,2022-12-30 19:52:41,44.0787,-80.2041,282.11,99,100,7.53
241,Kameshkovo,RU,2022-12-30 19:52:41,56.3481,41.0047,273.17,99,100,2.9
242,Vihti,FI,2022-12-30 19:52:42,60.417,24.3197,276.77,100,46,3.13
243,Tanabe,JP,2022-12-30 19:52:42,33.7333,135.3667,278.78,71,7,5.24
244,Cape Coast,GH,2022-12-30 19:52:42,5.1053,-1.2466,299.61,81,13,3.81
245,Saint-Pierre,RE,2022-12-30 19:52:43,-21.3393,55.4781,297.97,73,7,2.57
246,Pochutla,MX,2022-12-30 19:52:43,15.7432,-96.4661,303.05,46,100,4.41
247,Pak Chong,TH,2022-12-30 19:52:44,14.708,101.4161,292.49,84,45,3.04
248,Uribia,CO,2022-12-30 19:52:44,11.7139,-72.266,303.71,48,1,9.08
249,Sioux Lookout,CA,2022-12-30 19:52:44,50.1001,-91.917,261.19,92,100,4.12
250,Necochea,AR,2022-12-30 19:52:45,-38.5473,-58.7368,294.3,65,4,7.32
251,Lazaro Cardenas,MX,2022-12-30 19:52:45,17.9583,-102.2,300.73,52,100,4.11
252,Omboue,GA,2022-12-30 19:52:46,-1.5746,9.2618,299.04,85,29,2.29
253,Nouadhibou,MR,2022-12-30 19:52:46,20.931,-17.0347,295.14,64,0,2.57
254,Ouesso,CG,2022-12-30 19:52:46,1.6136,16.0517,297.18,44,98,1.15
255,Mobaye,CF,2022-12-30 19:52:47,4.319,21.1786,297.46,42,84,0.63
256,Morant Bay,JM,2022-12-30 19:52:47,17.8815,-76.4093,302.99,65,0,4.65
257,Saskylakh,RU,2022-12-30 19:52:47,71.9167,114.0833,255.08,89,100,11.43
258,Bexhill,AU,2022-12-30 19:52:48,-28.7667,153.35,292.39,99,79,1.1
259,Manokwari,ID,2022-12-30 19:52:48,-0.8667,134.0833,297.23,89,100,1.63
260,Hofn,IS,2022-12-30 19:52:48,64.2539,-15.2082,265.27,59,0,5.99
261,Henties Bay,NA,2022-12-30 19:52:49,-22.116,14.2845,291.68,84,3,2.99
262,Morgantown,US,2022-12-30 19:46:43,39.6295,-79.9559,294.62,48,40,2.06
263,Zdvinsk,RU,2022-12-30 19:52:50,54.7021,78.661,246.41,100,100,1.01
264,Suifenhe,CN,2022-12-30 19:52:50,44.4,131.1667,254.46,89,6,1.93
265,Padang,ID,2022-12-30 19:52:50,-0.9492,100.3543,296.91,93,100,3.23
266,Mandera,KE,2022-12-30 19:52:51,3.9366,41.867,301.74,28,53,4.22
267,Port-Cartier,CA,2022-12-30 19:52:51,50.0334,-66.8654,270.23,96,100,0.37
268,Kaspiyskiy,RU,2022-12-30 19:52:51,45.3929,47.3707,274.82,67,27,3.67
269,Zermatt,CH,2022-12-30 19:52:52,46.0213,7.7491,276.9,100,100,6.69
270,Kutum,SD,2022-12-30 19:52:52,14.2,24.6667,287.55,29,8,4.87
271,Vila Franca Do Campo,PT,2022-12-30 19:52:50,37.7167,-25.4333,288.38,83,100,10.16
272,Zabaykalsk,RU,2022-12-30 19:52:52,49.6333,117.3167,253.51,96,43,5.75
273,Wembley,AU,2022-12-30 19:52:53,-31.9333,115.8,291.86,88,0,5.14
274,Pevek,RU,2022-12-30 19:52:53,69.7008,170.3133,235.63,100,78,1.93
275,Cayenne,GF,2022-12-30 19:52:54,4.9333,-52.3333,300.17,83,20,3.09
276,Victoria,HK,2022-12-30 19:52:01,22.2855,114.1577,288.12,74,63,6.71
277,Atambua,ID,2022-12-30 19:53:54,-9.1061,124.8925,296.59,90,100,5.52
278,Nhulunbuy,AU,2022-12-30 19:53:55,-12.2333,136.7667,299.49,94,100,8.75
279,Tessalit,ML,2022-12-30 19:53:55,20.1986,1.0114,292.99,12,91,4.43
280,Adendron,GR,2022-12-30 19:53:55,40.6717,22.6044,284.65,89,10,0.26
281,Felanitx,ES,2022-12-30 19:53:56,39.4696,3.1483,288.16,79,9,4.7
282,Carnarvon,AU,2022-12-30 19:53:56,-24.8667,113.6333,295.84,72,0,10.07
283,Komsomolskiy,UZ,2022-12-30 19:53:57,40.4272,71.7189,271.55,93,100,1.03
284,Ushtobe,KZ,2022-12-30 19:53:57,45.2514,77.9838,266.46,95,100,1.66
285,Nantucket,US,2022-12-30 19:53:33,41.2835,-70.0995,285.21,87,4,5.76
286,Naze,JP,2022-12-30 19:53:57,28.3667,129.4833,285.66,78,100,6.75
287,Jalu,LY,2022-12-30 19:53:58,29.0331,21.5482,286.84,60,1,3.11
288,Ilo,PE,2022-12-30 19:53:58,-17.6394,-71.3375,296.63,69,75,6.69
289,Mahebourg,MU,2022-12-30 19:53:58,-20.4081,57.7,297.31,78,20,1.54
290,Entre Rios,BR,2022-12-30 19:53:59,-11.9419,-38.0844,300.72,57,19,4.46
291,Grindavik,IS,2022-12-30 19:53:59,63.8424,-22.4338,261.41,85,0,3.6
292,Jiblah,YE,2022-12-30 19:54:00,13.9216,44.1467,286.64,80,11,3.12
293,Nemuro,JP,2022-12-30 19:54:00,43.3236,145.575,270.63,65,27,6.04
294,Petropavlovsk-Kamchatskiy,RU,2022-12-30 19:54:00,53.0452,158.6483,262.48,67,75,2.0
295,Mogadishu,SO,2022-12-30 19:54:01,2.0371,45.3438,298.54,79,100,8.67
